DOCTECH_numero,Designation,Maturity,n,total,riesgo,ELTDEC_numero,ELTDEC_designation,FAM_code,FCT_numero,FCT_nature,FCT_designation,FCT_BE_resp,VAR_numero,VAR_type,VAR_argument_produit_1,VAR_argument_produit_2,VAR_prix_previ,VAR_masse_previ,SOL_numero,SOL_site_production,SOL_sce,SOL_appariement,ESO_numero,ESO_etat,ESO_num_appro,ESO_date_histo,ESO_num_PG,ESO_commonalite,ESO_commentaire,ESO_designation_PG,ESO_code_SH,ESO_fourn_pilote,ESO_type_concur,ESO_mas_prob,ESO_mas_recy,ESO_risque,ESO_ecart_mas1,ESO_ecart_mas2,ESO_potentiel,ESO_coef,ESO_design_dos_fct,ESO_BE_resp,ESO_indice_dos_fct,AFU_int_site,AFU_int_sce,AFU_int_validite,AFU_ext_site,AFU_ext_sce,AFU_ext_validite,ECO_statut,ECO_sol_ext,ECO_parallel_set_cod,ECO_commentaire,PIE_numero,PIE_designation,PIE_type,PIE_BE_resp,PIE_sce_gest,PIE_sce_colead,PIE_ldr_conception,PIE_Nis_pie_numero,PIE_unite,AFF_POI_site,AFF_POI_sce,AFF_POI_validite,AFF_POE_site,AFF_POE_sce,AFF_POE_validite,AFF_uti_SIGNE,AFF_uti_G2B,PIE_cod_RSE,PIE_vital_part,PIE_code_nature,PIE_code_techno,PIE_sct_ach,PIE_fournisseur,PIE_cod_fab,PIE_source,PIE_gest_MDS,PIE_prix_std,PIE_prix_hors_amort,PIE_inducteur1,PIE_inducteur2,PIE_creation_comment,PIE_gest_PPU,PIE_maj_PPU,PIEIND_indice,PIEIND_statut,PIEIND_Dernier_indice,PIEIND_Dernier_statut,PIEIND_marquage_pays,PIEIND_masse,PIEIND_type_masse,PIEIND_nuance_protection,PIEIND_epaisseur,PIEIND_typologie,DOCTECH_BE_resp,DOCTECH_type,DOCTECH_indice,DOCTECH_indice_mineur,DOCTECH_flag_nis
041000001R,ECROU TOLE M6 X100 SA3GS,Validated,8,8,0,74,COMMANDES CHASSIS,X52,F10436,Fonction,MECANISME DE FREIN DE STATIONNEMENT,Renault,1,Projet,TT,,NA,NA,5,,0RDBA,NA,2,Valide, 	 ,18/01/2016,F10436/AY,NA,,PROTECTEUR MECANISME DE FREIN DE STATIONNEMENT,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,2,NA,,,OCM,0RDBA,Officielle,,,,BE,,NA,, 	 041000001R,ECROU TOLE M6 X100 SA3GS,RMU,Renault,00APS,KYC,Renault, 	 ," PCE Pièce, Unité",,,," EXT,SFK",00APS,Officielle," EXT,REV,TAN,UGB,PAL,UPL,BUR,VAL,ORU,UAS,IKO,IPK,MOP,OCM,MAH,RMA,NSA,TOA,RSM,CHN,CAR,AGV,COR,LUT,NB1,MCA,DPE,LHA,NVU,HAM,ORA,WUH,PLS,IZH,SOV,VUC,TCM,BUM,MOT,TKD,SNY",,---,NA,S,71K,64Y,RENAULT SAS DEPOT RLT SOFRAS,5X,,Oui,NA,NA,Non définie,Non définie,Initialisation par PDP,,,--G,BE,--G,BE,NA,0.004,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--G,8,Non partagé
2D0008902P,ROULEMENT AV,Refused,2,5,0.4,88,MONTAGE DE ROUE,X79,F15677,Fonction,ELEMENT TOURNANT DE ROUE AV,Renault,1,Projet,H79,,NA,NA,8,,0M000,NA,2,Valide, 	 ,01/07/2016,F15677/AC,NA,,ROULEMENT DE ROUE AV,EXPERT,NA,Fournisseur,NA,NA,NA,NA,NA,NA,2,NA,,,MEP,0M000,Officielle,,,,BE,,NA,, 	 402104229R,ROULEMENT AV,PIE,Renault,65500,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle," EXT,CHN,ACI,COR,BUM,MEP,TAN",,R--,NA,-,XAO,,NTN-SNR ROULEMENTS SA,JA,,Oui,NA,NA,Prestations Véhicules et Organes,Prestation CO2 - Consommation GMP,,,,--D,BE,--D,BE,NA,0.797,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--B,5,
2D0008976P,POMPE DIRECTION ASSISTEE,Validated,3,3,0,81,DIRECTION,X79,F10492,Fonction,POMPE DA,Renault,12,Projet,H79 / F4R,,NA,NA,2,,0M000,NA,1,Valide, 	 ,15/03/2017,F10492/AA,NA,,POMPE HYDRAULIQUE DA,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," MOP,ORU",0M000,Officielle,,,,BE,,NA,, 	 491101428R,POMPE DIRECTION ASSISTEE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," ORU,MOP",,PQ-,NA,-,XTR,,KYB STEERING SPAIN SA,6L,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Non définie,,,,--B,BE,--B,BE,NA,1.25,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--B,4,
2D0008978P,CONDUIT VENTILATION CTL G,Validated,1,1,0,51,PLANCHE DE BORD,XHA,F17369,Fonction,VENTILATION PLANCHE DE BORD,Renault,4,Projet,HHA/E2/ENPB01,,NA,NA,1,,0M000,NA,2,Valide, 	 ,20/03/2015,F17369/AD,NA,,CONDUIT VENTILATION CTL G,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 687792892R,CONDUIT VENTILATION CTL G,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,R--,NA,-,,,SMRC AUTOMOTIVE TECHNOLOGY R,JX,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--C,BE,--C,BE,NA,0.095,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,
2D0008998P,CONDUITE HYD EMBRAYAGE H/P COTE EMETTEUR,Validated,1,1,0,74,COMMANDES CHASSIS,X52,F10217,Fonction,COMMANDE HYDRAULIQUE D' EMBRAYAGE,Renault,14,Projet,X52 PH2 EURO6 DD,,NA,NA,4,,0M000,NA,3,Valide, 	 ,05/07/2019,F10217/AL,NA,,CONDUIT 1 COMMANDE HYDRAULIQUE COTE EMETTEUR,8708.93,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," MOP,TAN",0M000,Officielle,,,,BE,,NA,, 	 308507383R,CONDUITE HYD EMBRAYAGE H/P COTE EMETTEUR,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," TAN,MOP",,---,NA,-,XUR,,SCHAEFFLER FRANCE SAS,ZH,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,---,BE,---,BE,NA,0.053,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,
2D0009013P,ANTIVOL MECANIQUE,Refused,1,4,0.25,31,ACCES - PROTECTION VEHICULE,X52,F10051,Fonction,COMMANDE DE DEMARRAGE,Renault,3,Projet," B52,K52-   DIRECTION A DROITE MEC RENAULT",,NA,NA,4,,0M000,NA,3,Valide, 	 ,01/03/2017,F10051/AE,NA,,COMMANDE DE DEMARRAGE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,,,,EXT,0M000,Officielle,BE,,NA,, 	 487002687R,ANTIVOL MECANIQUE,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," ORU,SNY,EXT",,RSE,NA,-,PPU,,,51,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,MPPU Pièce Plus Utilisée Module,23/04/2018,---,BE,---,BE,NA,0.357,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--B,4,
2D0009021P,TUYAU ENTREE COMPRESSEUR,Validated,2,2,0,73,REFROIDISSEMENT GMP,X52,F10174,Fonction,CIRCUIT DE CONDITIONNEMENT D' AIR,Renault,27,Projet," X52 PH 1, PH 2  / DG / H4B /  1234YF",,NA,NA,1,,0M000,NA,6,Valide, 	 ,01/09/2015,F10174/BJ,NA,,TUYAU 2 ENTRE DETENDEUR ET COMPRESSEUR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,0M000,Officielle,,,,BE,,NA,, 	 924540516R,TUYAU ENTREE COMPRESSEUR,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,MOP,,R--,NA,-,XBR,,CONTITECH ROMANIA SRL,5Y,,Oui,NA,NA,Inducteurs Spécifiques,Pièce de responsabilité ingénierie partenaire,,,,--B,BE,--B,BE,NA,0.696,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--A,2,
2D0009028P,BANDE DECORATIVE,Refused,3,5,0.6,41,ACCESSOIRES EXT - BOUCLIERS - BAGUETTES,X79,F17663,Fonction,ELEMENT DECORATIF,Renault,22,Projet,U79 4X4,,NA,NA,2,,1RDBA,NA,2,Valide, 	 ,23/02/2018,F17663/BC,NA,,ELEMENT DECORATIF 1 DE PANNEAU EXT DE PORTE AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," UAS,VUC",0RDBA,Officielle,,,,BE,,NA,, 	 990B82370R,BANDE DECORATIVE COTE CAISSE D,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle," UAS,VUC",,---,NA,-,YJO,,VEXILOM EMBLEMAS TEC. COM. L,UN,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,--A,BE,--A,BE,NA,0.007,Calculée,,,Plan de définition obligatoire,Renault,Plan,--A,5,
2D0009065P,TUYAU ENTREE COMPRESSEUR,Validated,2,2,0,73,REFROIDISSEMENT GMP,X52,F10174,Fonction,CIRCUIT DE CONDITIONNEMENT D' AIR,Renault,21,Projet,X52 PH 2/ DG  /B4D / FLUIDE 1234YF,,NA,NA,2,,0M000,NA,6,Valide, 	 ,23/10/2015,F10174/BJ,NA,,TUYAU 2 ENTRE DETENDEUR ET COMPRESSEUR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,0M000,Officielle,,,,BE,,NA,, 	 924546661R,TUYAU ENTREE COMPRESSEUR,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,MOP,,R--,NA,-,XBR,,CONTITECH ROMANIA SRL,MB,,Oui,NA,NA,Inducteurs Spécifiques,Pièce de responsabilité ingénierie partenaire,,,,--B,BE,--B,BE,NA,0.713,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--A,2,
2D0009090P,TUYAU ENTREE COMPRESSEUR,Refused,4,6,0.6666666666666666,73,REFROIDISSEMENT GMP,X52,F10174,Fonction,CIRCUIT DE CONDITIONNEMENT D' AIR,Renault,7,Projet,DG / K9K  / FLUIDE 134A,,NA,NA,12,,0M000,NA,7,Valide, 	 ,22/07/2016,F10174/BJ,NA,,TUYAU 2 ENTRE DETENDEUR ET COMPRESSEUR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,0M000,Officielle,,,,BE,,NA,, 	 924548888R,TUYAU ENTREE COMPRESSEUR,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," MOP,ORA,ORU",,R--,NA,-,XBR,,CONTITECH ROMANIA SRL,UJ,,Oui,NA,NA,Inducteurs Spécifiques,Pièce de responsabilité ingénierie partenaire,,,,--B,BE,--B,BE,NA,0.604,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--A,7,
2D0009092P,TUYAU ENTREE COMPRESSEUR,Validated,2,2,0,73,REFROIDISSEMENT GMP,X52,F10174,Fonction,CIRCUIT DE CONDITIONNEMENT D' AIR,Renault,31,Projet," X52 PH 1, PH 2 / DG / K9K / FLUIDE 1234YF",,NA,NA,1,,0M000,NA,6,Valide, 	 ,01/09/2015,F10174/BJ,NA,,TUYAU 2 ENTRE DETENDEUR ET COMPRESSEUR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,0M000,Officielle,,,,BE,,NA,, 	 924543827R,TUYAU ENTREE COMPRESSEUR,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,MOP,,R--,NA,-,XBR,,CONTITECH ROMANIA SRL,NG,,Oui,NA,NA,Inducteurs Spécifiques,Pièce de responsabilité ingénierie partenaire,,,,--C,BE,--C,BE,NA,0.603,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--A,2,
2D0009093P,TUYAU CONDENSEUR DETENDEUR,Validated,2,2,0,73,REFROIDISSEMENT GMP,X52,F10174,Fonction,CIRCUIT DE CONDITIONNEMENT D' AIR,Renault,27,Projet," X52 PH 1, PH 2  / DG / H4B /  1234YF",,NA,NA,1,,0M000,NA,7,Valide, 	 ,01/09/2015,F10174/CR,NA,,TUYAU COUPURE DETENDEUR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,0M000,Officielle,,,,BE,,NA,, 	 924405959R,TUYAU CONDENSEUR DETENDEUR,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," TAN,MOP",,R--,NA,-,XUR,,CONTITECH ROMANIA SRL,XL,,Oui,NA,NA,Inducteurs Spécifiques,Pièce de responsabilité ingénierie partenaire,,,,--B,BE,--B,BE,NA,0.21,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--A,3,
2D0009098P,TUYAU CONDENSEUR DETENDEUR,Validated,2,2,0,73,REFROIDISSEMENT GMP,X52,F10174,Fonction,CIRCUIT DE CONDITIONNEMENT D' AIR,Renault,28,Projet," X52 PH 1, PH 2 / DD / H4B /  1234YF",,NA,NA,1,,0M000,NA,7,Valide, 	 ,01/09/2015,F10174/CR,NA,,TUYAU COUPURE DETENDEUR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,0M000,Officielle,,,,BE,,NA,, 	 924401509R,TUYAU CONDENSEUR DETENDEUR,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," TAN,MOP,ORA",,R--,NA,-,XUR,,CONTITECH ROMANIA SRL,KE,,Oui,NA,NA,Inducteurs Spécifiques,Pièce de responsabilité ingénierie partenaire,,,,--B,BE,--B,BE,NA,0.216,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--A,3,
2D0009099P,PARE SOLEIL G,Validated,2,2,0,62,HABILLAGE INTERIEUR,X52,F10469,Fonction,PARE-SOLEIL AV,Renault,10,Projet,CURITIBA VP - L52,,NA,NA,2,,0RDBA,NA,2,Valide, 	 ,18/10/2018,F10469/AD,NA,,PARE-SOLEIL G,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,COR,0RDBA,Officielle,,,,BE,,NA,, 	 964011781R,PARE-SOLEIL G,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,COR,,RS-,NA,-,PPU,,INDUSTRIAS VIAURO SA,L3,,Oui,NA,NA,Prestations Véhicules et Organes,Résolution pb Qualité - Fiab / LUP QC / SdF / SGP,,MPPU Pièce Plus Utilisée Module,03/10/2017,--B,BE,--B,BE,NA,0.278,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,2,
2D0009100P,PARE SOLEIL G,Validated,2,2,0,62,HABILLAGE INTERIEUR,X52,F10469,Fonction,PARE-SOLEIL AV,Renault,11,Projet," CURITIBA VP - E1, E2",,NA,NA,3,,0RDBA,NA,2,Valide, 	 ,18/10/2018,F10469/AD,NA,,PARE-SOLEIL G,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,COR,0RDBA,Officielle,,,,BE,,NA,, 	 964018524R,PARE-SOLEIL G,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,COR,,RS-,NA,-,PPU,,INDUSTRIAS VIAURO SA,S9,,Oui,NA,NA,Prestations Véhicules et Organes,Résolution pb Qualité - Fiab / LUP QC / SdF / SGP,,MPPU Pièce Plus Utilisée Module,03/10/2017,--B,BE,--B,BE,NA,0.353,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,2,
2D0009160P,HAUT-PARLEUR,Validated,1,1,0,95,MULTIMEDIA ET AFFICHAGES,X52,F10387,Fonction,HAUT PARLEUR DE PORTE AR,Renault,1,Projet,AVEC RADIO,,NA,NA,5,,0RDBA,NA,1,Valide, 	 ,13/08/2018,F10387/AI,NA,,HAUT PARLEUR DE PORTE AR G,8518.29,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,0RDBA,Officielle,,,,BE,,NA,, 	 281442017R,HAUT-PARLEUR,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,UAS,,R-E,NA,-,PPU,,ASK DO BRASIL LTDA,9P,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Non définie,,,,---,BE,---,BE,NA,0.36,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,
2D0009198P,RESSORT SUSPENSION AR,Refused,2,5,0.4,85,SUSPENSIONS - FILTRATION,XHA,F15655,Fonction,RESSORT DE SUSPENSION AR,Renault,5,Projet,HHA INDE TR4X2,,NA,NA,1,,0INDE,NA,2,Valide, 	 ,24/03/2016,F15655/AA,NA,,RESSORT DE SUSPENSION AR D,7320.2,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 550209236R,RESSORT SUSPENSION AR,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,R--,NA,-,,,,UH,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--B,BE,--B,BE,NA,2.73,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--B,7,
2D0009204P,RESSORT SUSPENSION AV,Refused,3,5,0.6,85,SUSPENSIONS - FILTRATION,XHA,F15671,Fonction,RESSORT DE SUSPENSION AV,Renault,9,Projet," HHA INDE EA1,EA2,EA3 AND EA4-BVM6",,NA,NA,1,,0INDE,NA,1,Valide, 	 ,24/03/2016,F15671/AA,NA,,RESSORT DE SUSPENSION AV D,7320.2,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 540106472R,RESSORT SUSPENSION AV,PIE,Renault,0INDE,XCP,Renault, 	 ,KGM Kilogramme,,,,EXT,0INDE,Officielle,CHN,,P--,NA,-,,,,3P,540108027R,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--A,BE,--A,BE,NA,2.17,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,5,
2D0009206P,PARE SOLEIL D,Validated,2,2,0,62,HABILLAGE INTERIEUR,X52,F10469,Fonction,PARE-SOLEIL AV,Renault,10,Projet,CURITIBA VP - L52,,NA,NA,2,,0RDBA,NA,1,Valide, 	 ,18/10/2018,F10469/AC,NA,,PARE-SOLEIL D,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,COR,0RDBA,Officielle,,,,BE,,NA,, 	 964007200R,PARE-SOLEIL D,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,COR,,RS-,NA,-,PPU,,INDUSTRIAS VIAURO SA,5L,,Oui,NA,NA,Prestations Véhicules et Organes,Résolution pb Qualité - Fiab / LUP QC / SdF / SGP,,MPPU Pièce Plus Utilisée Module,03/10/2017,--B,BE,--B,BE,NA,0.329,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,2,
2D0009222P,CLIMATISEUR CA MNL,Refused,1,2,0.5,52,CHAUFFAGE - CLIMATISATION,XHA,F10093,Fonction,BOITIER DE CA,Renault,1,Projet,HHA CA,,NA,NA,2,,0M000,NA,1,Valide, 	 ,10/12/2014,F10093/AA,NA,,BLOC DE CHAUFFAGE ET CLIMATISATION,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,0M000,Officielle,,,,BE,,NA,, 	 272707132R,CLIMATISEUR CA MNL,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,UAS,,R-E,NA,-,WHR,,VALEO SISTEMAS AUTOMOTIVOS L,WN,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--D,BE,--D,BE,NA,7.218,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--B,7,
2D0009222P,CLIMATISEUR CA RGLE,Refused,3,5,0.6,52,CHAUFFAGE - CLIMATISATION,XHA,F10093,Fonction,BOITIER DE CA,Renault,1,Projet,HHA CA,,NA,NA,2,,0M000,NA,1,Valide, 	 ,10/12/2014,F10093/AA,NA,,BLOC DE CHAUFFAGE ET CLIMATISATION,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,0M000,Officielle,,,,BE,,NA,, 	 272707132R,CLIMATISEUR CA MNL,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,UAS,,R-E,NA,-,WHR,,VALEO SISTEMAS AUTOMOTIVOS L,WN,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--D,BE,--D,BE,NA,7.218,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--B,7,
2D0009338P,TRANSMISSION AV G,Validated,2,2,0,B2,TRANSMISSION,X79,ASS002012,Fonction,TRANSMISSION AV G ASS,Renault,3,Projet," H79 4X2 K9K, F4R TL4/ F4R TS4 : TRAIN 25 C - (NTN)",,NA,NA,3,,0B000,NA,1,Valide, 	 ,09/11/2018,ASS002012,NA,,TRANSMISSION AV G ASS,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," VUC,ORU,OCM,UAS,MOP",0B000,Officielle,,,,BE,,NA,, 	 391016491R,TRANSMISSION AV G,PIE,Renault,0B000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0B000,Officielle," MOP,UAS,OCM,ORU,VUC",,-S-,NA,-,XRR,,NTN TRANSMISSIONS EUROPE,7H,,Non,NA,NA,Non définie,Non définie,CREATION VIA VPM,,,--C,BE,--C,BE,NA,6.96,Calculée,,,Plan de définition obligatoire,Renault,Plan,--A,2,
2D0009345P,TETE CLE,Refused,8,12,0.6666666666666666,31,ACCES - PROTECTION VEHICULE,X52,F10051,Fonction,COMMANDE DE DEMARRAGE,Renault,1,Projet," X52  MECANIQUE DG, DACIA",,NA,NA,6,,0M000,NA,2,Valide, 	 ,27/10/2016,F10051/AK,NA,,TETE CLE 1 COMMANDE DE DEMARRAGE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,2,NA,,,,,,EXT,0M000,Officielle,BE,,NA,, 	 805670169R,TETE CLE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,EXT,,P--,NA,-,,,,8B,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,--A,BE,--A,BE,NA,0.017,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,7,
2D0009351P,COQUILLE RTRV EXT D,Refused,1,2,0.5,43,VISIBILITE,X79,F10234,Fonction,COQUILLE DE RETROVISEUR EXT,Renault,19,Projet,H79 PHASE 2 INDIA E2 E3 TR4X4 & E2 SPORT CUBIC PRINTING,,NA,NA,2,CHN,0INDE,NA,2,Valide, 	 ,30/07/2018,F10234/AB,NA,,COQUILLE DE RETROVISEUR EXT G,8708.29,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 963748965R,COQUILLE RTRV EXT D,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,R-E,NA,-,YER,,SMR AUTOMOTIVE SYSTEMS INDIA,Z1,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,--A,BE,--A,BE,NA,0.115,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,
2D0009354P,ECROU A SOUDER M8X125 8 ROND,Validated,1,1,0,12,SOUBASSEMENT,X52,F21206,Fonction,STRUCTURE D' ADAPTATION RESERVOIR ADDITIONNEL UREE SUR SBS,Renault,2,Projet," BERLINE, TRICORPS ET BREAK E06T",,NA,NA,3," MOP,TAN",0M000,NA,8,Valide, 	 ,02/02/2018,L2040023A,NA,,FIX 1 SUPPORT G RESERVOIR ADDITIONNEL UREE SUR SBS,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,,,,EXT,0M000,Officielle,BE,,NA,DOC 426100, 	 7703042121,ECROU A SOUDER M8X125 8 ROND,RMU,Renault,00APS,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,00APS,Officielle," BUR,REV,ORU,RSM,ARU,MCA,EXT",,---,NA,S,71O,,RENAULT SAS DEPOT RLT SOFRAS,1S,,Oui,NA,NA,Standardisation,RMU,,,,--A,BE,--A,BE,NA,0.018,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,---,1,
2D0009359P,AEREATOR CTRL,Refused,1,1,1,62,HABILLAGE INTERIEUR,X52,F10702,Fonction,VENTILATION HABITACLE,Renault,19,Projet," CURITIBA VP - B52,L52/E0",,NA,NA,12,,0RDBA,NA,3,Valide, 	 ,25/02/2019,F10702/CX,NA,,AERATEUR CENTRAL G PLANCHE DE BORD,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,0RDBA,Officielle,,,,BE,,NA,, 	 687600237R,AERATEUR,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle," EXT,UAS,COR",,R--,NA,-,300,,IBER OLEFF BRASIL LTDA,8X,,Oui,NA,NA,Prestations Véhicules et Organes,Résolution pb Qualité - Fiab / LUP QC / SdF / SGP,,,,---,BE,---,BE,NA,0.087,Pesée pièce proto,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,
2D0009363P,COQUILLE RTRV EXT G,Validated,1,1,0,43,VISIBILITE,X79,F10234,Fonction,COQUILLE DE RETROVISEUR EXT,Renault,19,Projet,H79 PHASE 2 INDIA E2 E3 TR4X4 & E2 SPORT CUBIC PRINTING,,NA,NA,2,CHN,0INDE,NA,1,Valide, 	 ,30/07/2018,F10234/AA,NA,,COQUILLE DE RETROVISEUR EXT D,8708.29,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 963737341R,COQUILLE RTRV EXT G,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle," CHN,OCM",,R-E,NA,-,YER,,SMR AUTOMOTIVE SYSTEMS INDIA,H5,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,--A,BE,--A,BE,NA,0.115,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,
