DOCTECH_numero,Designation,Maturity,n,total,riesgo,ELTDEC_numero,ELTDEC_designation,FAM_code,FCT_numero,FCT_nature,FCT_designation,FCT_BE_resp,VAR_numero,VAR_type,VAR_argument_produit_1,VAR_argument_produit_2,VAR_prix_previ,VAR_masse_previ,SOL_numero,SOL_site_production,SOL_sce,SOL_appariement,ESO_numero,ESO_etat,ESO_num_appro,ESO_date_histo,ESO_num_PG,ESO_commonalite,ESO_commentaire,ESO_designation_PG,ESO_code_SH,ESO_fourn_pilote,ESO_type_concur,ESO_mas_prob,ESO_mas_recy,ESO_risque,ESO_ecart_mas1,ESO_ecart_mas2,ESO_potentiel,ESO_coef,ESO_design_dos_fct,ESO_BE_resp,ESO_indice_dos_fct,AFU_int_site,AFU_int_sce,AFU_int_validite,AFU_ext_site,AFU_ext_sce,AFU_ext_validite,ECO_statut,ECO_sol_ext,ECO_parallel_set_cod,ECO_commentaire,PIE_numero,PIE_designation,PIE_type,PIE_BE_resp,PIE_sce_gest,PIE_sce_colead,PIE_ldr_conception,PIE_Nis_pie_numero,PIE_unite,AFF_POI_site,AFF_POI_sce,AFF_POI_validite,AFF_POE_site,AFF_POE_sce,AFF_POE_validite,AFF_uti_SIGNE,AFF_uti_G2B,PIE_cod_RSE,PIE_vital_part,PIE_code_nature,PIE_code_techno,PIE_sct_ach,PIE_fournisseur,PIE_cod_fab,PIE_source,PIE_gest_MDS,PIE_prix_std,PIE_prix_hors_amort,PIE_inducteur1,PIE_inducteur2,PIE_creation_comment,PIE_gest_PPU,PIE_maj_PPU,PIEIND_indice,PIEIND_statut,PIEIND_Dernier_indice,PIEIND_Dernier_statut,PIEIND_marquage_pays,PIEIND_masse,PIEIND_type_masse,PIEIND_nuance_protection,PIEIND_epaisseur,PIEIND_typologie,DOCTECH_BE_resp,DOCTECH_type,DOCTECH_indice,DOCTECH_indice_mineur,DOCTECH_flag_nis
100030865,RENFORT AR TETE ESSIEU G,Refused,5,7,0.7142857142857143,86,ESSIEU AR,X79,F15652,Fonction,SUPPORT D' ELEMENT TOURNANT DU TRAIN AR,Renault,3,Projet,4X2,,NA,NA,8,MEP,0M000,NA,5,Valide, 	 ,08/03/2018,F15652/AE,NA,,RENFORT LAT DE TETE ESSIEU AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MEP,0M000,Officielle,,,,BE,,NA,, 	 555178428R,RENFORT AR TETE ESSIEU D,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",MEP,0M000,Officielle,,,," EXT,MEP,TOA",,---,NA,D,,,AUTOMOBILE DACIA S.A. ACHATS,9F,,Oui,NA,NA,Inducteurs Spécifiques,Raison Eco / LUP ECO,,,,---,BE,---,BE,NA,0.44,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--K,10,
2D0003218P,VITRE LUNETTE,Refused,2,2,1,43,VISIBILITE,X52,F10707,Fonction,VITRE DE LUNETTE ARRIERE,Renault,8,Projet,X52 MERCOSUL,,NA,NA,2,,0RDBA,NA,1,Valide, 	 ,05/06/2015,F10707/AA,NA,,VITRE DE LUNETTE AR,7007.11,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,COR,0RDBA,Officielle,,,,BE,,NA,, 	 903008098R,VITRE LUNETTE CHAUFFANTE TEINTEE,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,COR,,RSE,NA,-,4AZ,,SAINT GOBAIN ARGENTINA,49,903004216R,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,6.332,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,23,
2D0003218P,VITRE LUNETTE CHAUFFANTE TEINTEE,Refused,6,8,0.75,43,VISIBILITE,X52,F10707,Fonction,VITRE DE LUNETTE ARRIERE,Renault,8,Projet,X52 MERCOSUL,,NA,NA,2,,0RDBA,NA,1,Valide, 	 ,05/06/2015,F10707/AA,NA,,VITRE DE LUNETTE AR,7007.11,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,COR,0RDBA,Officielle,,,,BE,,NA,, 	 903008098R,VITRE LUNETTE CHAUFFANTE TEINTEE,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,COR,,RSE,NA,-,4AZ,,SAINT GOBAIN ARGENTINA,49,903004216R,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,6.332,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,23,
2D0003242P,ARRET GAINE COMMANDE VITESSE,Validated,2,2,0,55,COMMANDE EXTERNE DE BOITE DE VITESSE,X79,F12004,Fonction,ARRET GAINE DE LA LIAISON COMMANDE EXTERNE COMMANDE INTERNE,Renault,2,Projet," ARRET GAINE PLASTIQUE , X79",,NA,NA,3,,0INDE,NA,1,Valide, 	 ,24/02/2016,F12004/AA,NA,,ARRET GAINE 1 DU CABLE DE COMMANDE,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 344149081R,ARRET GAINE COMMANDE VITESSE,PIE,Renault,0B000,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0B000,Officielle," CHN,ICH,CLE,BUM,CMC,SEV,CAC,TOP,CHO,TAN,VUC,UAS,EXT",,PQ-,NA,-,XUR,,DURA AUTOMOTIVE SYSTEMS SAS,MA,,Oui,NA,NA,Prestations Véhicules et Organes,Résolution pb Qualité - Fiab / LUP QC / SdF / SGP,CREATION VIA VPM,,,--B,BE,--B,BE,NA,0.097,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--A,3,
2D0003243P,TRANSMISSION AV D,Refused,1,4,0.25,B2,TRANSMISSION,X52,F11426,Fonction,TRANSMISSION AVANT DROITE,Renault,8,Projet,X52 CROSS K7M H4M JS3,,NA,NA,1,,0B000,NA,1,Valide, 	 ,24/10/2012,F11426/AA,NA,,TRANSMISSION AV D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," TOA,UAS",0B000,Officielle,,,,BE,,NA,, 	 391007113R,TRANSMISSION AV D,PIE,Renault,0B000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0B000,Officielle," UAS,TOA,RMA,MOP,TAN,PLS",,-S-,NA,-,XRR,,GKN DRIVELINE SA,4T,,Oui,NA,NA,Inducteurs Spécifiques,Implantation GMP dans véh (réservé IM),CREATION VIA VPM,,,--C,BE,--C,BE,NA,6.94,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--B,6,
2D0003253P,TRANSMISSION AV G,Validated,3,3,0,B2,TRANSMISSION,X52,F11428,Fonction,TRANSMISSION AVANT GAUCHE,Renault,4,Projet," K9K,H4M,K4M,K7M / JR5,JH3,JS3 / BCROSS",,NA,NA,1,,0B000,NA,1,Valide, 	 ,01/02/2018,F11428/AA,NA,,TRANSMISSION AV G,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," TAN,MOP,ORA,UAS,TOA,RMA",0B000,Officielle,,,,BE,,NA,, 	 391016613R,TRANSMISSION AV G,PIE,Renault,0B000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0B000,Officielle," MOP,RMA,TAN,TOA,UAS,ORA",,-S-,NA,-,XRR,,GKN DRIVELINE SA,CT,,Oui,NA,NA,Inducteurs Spécifiques,Implantation GMP dans véh (réservé IM),CREATION VIA VPM,,,--E,BE,--E,BE,NA,5.1,Calculée,,,Plan de définition obligatoire,Renault,Plan,--B,5,
2D0003258P,ENJOLIVEUR ROUE 15 POPSTER,Refused,2,4,0.5,84,ROUES - PNEUMATIQUES - ENJOLIVEURS,X52,F12787,Fonction,ENJOLIVEUR DE ROUE,Renault,29,Projet,RTOL15 / APL DACIA MAXI POPSTER PH2,,NA,NA,1,,0M000,NA,1,Valide, 	 ,07/09/2015,F12787/AB,NA,,ENJOLIVEUR 1 DE ROUE,8708.7,NA,Fournisseur,NA,NA,NA,NA,NA,NA,4,NA,,," MOP,RMA,TAN",0M000,Officielle,,,,BE,,NA,, 	 403151898R,ENJOLIVEUR ROUE 15 POPSTER,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," TAN,RMA,MOP",,P--,NA,-,,,MAIER CZ S.R.O,L8,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,---,BE,---,BE,NA,0.558,Calculée,,,Plan de définition obligatoire,Renault,Plan,--A,5,
2D0003266P,TRANSMISSION AV G,Validated,3,3,0,B2,TRANSMISSION,X79,ASS002012,Fonction,TRANSMISSION AV G ASS,Renault,16,Projet,X79 DC4 K9K,,NA,NA,5,,32LOS,NA,1,Valide, 	 ,02/10/2015,ASS002012,NA,,TRANSMISSION AV G ASS,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,32LOS,Officielle,,,,BE,,NA,, 	 391013130R,TRANSMISSION AV G,PIE,Renault,31LOS,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,32LOS,Officielle,MOP,,-S-,NA,-,,,NTN TRANSMISSIONS EUROPE,87,,Oui,NA,NA,Inducteurs Spécifiques,Implantation composant dans GMP,,,,--B,BE,--B,BE,NA,7.11,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--B,5,
2D0003268P,ENJOLIVEUR ROUE 15 DECADE,Refused,1,2,0.5,84,ROUES - PNEUMATIQUES - ENJOLIVEURS,X52,F12787,Fonction,ENJOLIVEUR DE ROUE,Renault,30,Projet,RTOL15 / APL RENAULT DECADE PH2,,NA,NA,1,,0M000,NA,1,Valide, 	 ,28/03/2016,F12787/AB,NA,,ENJOLIVEUR 1 DE ROUE,8708.7,NA,Fournisseur,NA,NA,NA,NA,NA,NA,4,NA,,," MOP,ORA,RMA",0M000,Officielle,,,,BE,,NA,, 	 403159285R,ENJOLIVEUR ROUE 15 DECADE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," RMA,MOP,ORA",,P--,NA,-,,,MAIER S.COOP,WL,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,---,BE,---,BE,NA,0.511,Calculée,,,Plan de définition obligatoire,Renault,Plan,---,4,
2D0003279P,VITRE MOBILE PORTE AV G,Refused,2,3,0.6666666666666666,43,VISIBILITE,X52,F10709,Fonction,VITRE DE PORTE AVANT,Renault,2,Projet,TEINTEE,,NA,NA,6,,0RDBA,NA,1,Valide, 	 ,05/06/2015,F10709/AE,NA,,VITRE MOBILE DE PORTE AVANT D,7007.11,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,COR,0RDBA,Officielle,,,,BE,,NA,, 	 803000541R,VITRE MOBILE PORTE AV D,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,COR,,R--,NA,-,4AZ,,SAINT GOBAIN ARGENTINA,3S,803002254R,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,2.898,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,7,
2D0003317P,LEVE-VITRE AR D MANUEL,Refused,3,4,0.75,32,ETANCHEITE - MANOEUVRE,X52,F10437,Fonction,MECANISME DE LEVE VITRE ARRIERE,Renault,1,Projet,MANUEL,,NA,NA,2,,0RDBA,NA,1,Valide, 	 ,28/09/2015,F10437/AE,NA,,MECANISME DE LEVE VITRE ARRIERE D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," COR,UAS",0RDBA,Officielle,,,,BE,,NA,, 	 827201086R,LEVE-VITRE AR D MANUEL,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle," UAS,COR",,R--,NA,-,YAR,,IRAMEC AUTOPECAS SA.,2T,827202131R,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,0.602,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,8,
2D0003318P,LEVE-VITRE AV G ELECTRIQUE,Refused,3,4,0.75,32,ETANCHEITE - MANOEUVRE,X52,F10438,Fonction,MECANISME DE LEVE VITRE AVANT,Renault,2,Projet,ELECTRIQUE,,NA,NA,3,,0RDBA,NA,1,Valide, 	 ,28/09/2015,F10438/AE,NA,,MECANISME DE LEVE-VITRE AV D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," COR,UAS",0RDBA,Officielle,,,,BE,,NA,, 	 807208433R,LEVE-VITRE AV D ELECTRIQUE,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle," UAS,COR",,R-E,NA,-,YAR,,IRAMEC AUTOPECAS SA.,6S,807209389R,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,1.102,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,8,
2D0003319P,LEVE-VITRE AV G ANTIPINCEMENT,Refused,3,4,0.75,32,ETANCHEITE - MANOEUVRE,X52,F10438,Fonction,MECANISME DE LEVE VITRE AVANT,Renault,5,Projet,LEVE VITRE IMP,,NA,NA,1,,0RDBA,NA,1,Valide, 	 ,05/09/2016,F10438/AE,NA,,MECANISME DE LEVE-VITRE AV D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," OCM,UAS,COR",0RDBA,Officielle,,,,BE,,NA,, 	 807201829R,LEVE-VITRE AV D ANTIPINCEMENT,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle," OCM,COR,UAS",,R-E,NA,-,YAR,,IRAMEC AUTOPECAS SA.,C6,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,---,BE,---,BE,NA,1.119,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,10,
2D0003320P,LEVE-VITRE AR G ANTIPINCEMENT,Refused,3,4,0.75,32,ETANCHEITE - MANOEUVRE,X52,F10437,Fonction,MECANISME DE LEVE VITRE ARRIERE,Renault,3,Projet,LEVE VITRE IMP,,NA,NA,1,,0RDBA,NA,1,Valide, 	 ,05/09/2016,F10437/AE,NA,,MECANISME DE LEVE VITRE ARRIERE D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," OCM,UAS,COR",0RDBA,Officielle,,,,BE,,NA,, 	 827203526R,LEVE-VITRE AR D ANTIPINCEMENT,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle," OCM,COR,UAS,ORA",,R-E,NA,-,YAR,,IRAMEC AUTOPECAS SA.,9W,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,---,BE,---,BE,NA,1.118,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,8,
2D0003321P,COMMANDE VITESSE,Validated,1,1,0,55,COMMANDE EXTERNE DE BOITE DE VITESSE,XHA,ASS001983,Fonction,COMMANDE BOITE VITESSE MANUELLE ASS,Renault,3,Projet,HHA / F4R / TL8,,NA,NA,3,,1RDBA,NA,1,Valide, 	 ,19/12/2016,ASS001983,NA,,COMMANDE VITESSE ASS,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,1RDBA,Officielle,,,,BE,,NA,, 	 349013308R,COMMANDE VITESSE ASS,PIE,Renault,0B000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,1RDBA,Officielle,ORU,,R--,NA,-,,,KONGSBERG AUTOMOTIVE S.R.O.,UV,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--A,BE,--A,BE,NA,2.4,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--A,4,
2D0003321P,COMMANDE VITESSE ASS,Validated,1,1,0,55,COMMANDE EXTERNE DE BOITE DE VITESSE,XHA,ASS001983,Fonction,COMMANDE BOITE VITESSE MANUELLE ASS,Renault,3,Projet,HHA / F4R / TL8,,NA,NA,3,,1RDBA,NA,1,Valide, 	 ,19/12/2016,ASS001983,NA,,COMMANDE VITESSE ASS,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,1RDBA,Officielle,,,,BE,,NA,, 	 349013308R,COMMANDE VITESSE ASS,PIE,Renault,0B000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,1RDBA,Officielle,ORU,,R--,NA,-,,,KONGSBERG AUTOMOTIVE S.R.O.,UV,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--A,BE,--A,BE,NA,2.4,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--A,4,
2D0003340P,GARNITURE PIED MILIEU SUP G,Refused,1,2,0.5,62,HABILLAGE INTERIEUR,XHA,F10365,Fonction,GARNITURE DE PIED MILIEU,Renault,1,Projet,XHA,,NA,NA,2,,0RDBA,NA,3,Valide, 	 ,21/03/2017,F10365/AC,NA,,GARNITURE SUP DE PIED MILIEU D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0RDBA,Officielle,,,,BE,,NA,, 	 769135767R,GARNITURE PIED MILIEU SUP D,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,," SMI,EXT",0M000,Officielle," EXT,ORU",,RS-,NA,-,320,,GRUPO ANTOLIN PLASBUR SA,GW,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,--A,BE,--A,BE,NA,0.261,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,4,
2D0003354P,LEVE-VITRE AV G,Refused,2,3,0.6666666666666666,32,ETANCHEITE - MANOEUVRE,X52,F10438,Fonction,MECANISME DE LEVE VITRE AVANT,Renault,1,Projet,MANUEL,,NA,NA,3,,0RDBA,NA,1,Valide, 	 ,28/09/2015,F10438/AE,NA,,MECANISME DE LEVE-VITRE AV D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," COR,UAS",0RDBA,Officielle,,,,BE,,NA,, 	 807207794R,LEVE-VITRE AV D,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle," UAS,COR",,R--,NA,-,YAR,,IRAMEC AUTOPECAS SA.,45,807204055R,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,0.684,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,7,
2D0003429P,VITRE FIXE PORTE AR G,Validated,1,1,0,43,VISIBILITE,X52,F10708,Fonction,VITRE DE PORTE ARRIERE,Renault,3,Projet,B52,,NA,NA,9,,0RDBA,NA,3,Valide, 	 ,05/06/2015,F10708/AA,NA,,VITRE FIXE DE PORTE AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,COR,0RDBA,Officielle,,,,BE,,NA,, 	 822628678R,VITRE FIXE PORTE AR D TEINTEE,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,COR,,RS-,NA,-,4AZ,,SAINT GOBAIN ARGENTINA,9N,822622242R,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,0.536,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,
2D0003460P,CALE SOUS ECLAIREUR AR,Refused,1,2,0.5,62,HABILLAGE INTERIEUR,XHA,F16627,Fonction,CALAGE GARNITURE PAVILLON,Renault,1,Projet,XHA,,NA,NA,2,,0INDE,NA,6,Valide, 	 ,15/03/2016,F16627/AF,NA,,CALE GARNITURE PAVILLON,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 739823397R,CALE SOUS ECLAIREUR AR,PIE,Renault,65400,KY2,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65400,Officielle," VAL,TCM,CHN,UAS",,R--,NA,-,,,S.A. ISOFEL,0W,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),Initialisation par PDP,,,--E,BE,--E,BE,NA,0.11,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,3,
2D0003495P,VITRE MOBILE PORTE AR G,Refused,1,2,0.5,43,VISIBILITE,X52,F10708,Fonction,VITRE DE PORTE ARRIERE,Renault,3,Projet,B52,,NA,NA,9,,0RDBA,NA,1,Valide, 	 ,05/06/2015,F10708/AC,NA,,VITRE MOBILE PORTE AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,COR,0RDBA,Officielle,,,,BE,,NA,, 	 823000473R,VITRE MOBILE PORTE AR D TEINTEE,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,COR,,RS-,NA,-,4AZ,,SAINT GOBAIN ARGENTINA,89,823006406R,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,--A,BE,--A,BE,NA,2.457,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,3,
2D0003507P,VITRE MOBILE PORTE AR G,Validated,1,1,0,43,VISIBILITE,X52,F10708,Fonction,VITRE DE PORTE ARRIERE,Renault,2,Projet,L52,,NA,NA,9,,0RDBA,NA,3,Valide, 	 ,05/06/2015,F10708/AC,NA,,VITRE MOBILE PORTE AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,COR,0RDBA,Officielle,,,,BE,,NA,, 	 823005135R,VITRE MOBILE PORTE AR D TEINTEE,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,COR,,RS-,NA,-,4AZ,,SAINT GOBAIN ARGENTINA,L1,823005088R,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,2.882,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,
2D0003589P,VITRE FIXE PORTE AR G,Validated,1,1,0,43,VISIBILITE,X52,F10708,Fonction,VITRE DE PORTE ARRIERE,Renault,2,Projet,L52,,NA,NA,9,,0RDBA,NA,1,Valide, 	 ,05/06/2015,F10708/AA,NA,,VITRE FIXE DE PORTE AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,COR,0RDBA,Officielle,,,,BE,,NA,, 	 822629295R,VITRE FIXE PORTE AR D TEINTEE,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,COR,,RS-,NA,-,4AZ,,SAINT GOBAIN ARGENTINA,5E,822624282R,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,0.496,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,
2D0003592P,CABLE COMMANDE OVRT TRAPPE CARBURANT,Validated,3,3,0,31,ACCES - PROTECTION VEHICULE,X52,F16394,Fonction,COMMANDE OUVERTURE TRAPPE CARBURANT,Renault,4,Projet,B52 PH2 DAD BADGE RENAULT,,NA,NA,1,,0M000,NA,3,Valide, 	 ,17/05/2019,F16394/AB,NA,,CABLE 1 COMMANDE OUVERTURE MECANIQUE TRAPPE A CRBT,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," TAN,MOP",0M000,Officielle,,,,BE,,NA,, 	 788221072R,CABLE COMMANDE OVRT TRAPPE CARBURANT,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," MOP,TAN",,R--,NA,-,YAR,,ORAU ORHAN OTOMOTIV KONTROL,E1,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,---,BE,---,BE,NA,0.055,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--B,7,
2D0003649P,GACHETTE DEVERROUILLAGE MARCHE AR,Validated,2,2,0,55,COMMANDE EXTERNE DE BOITE DE VITESSE,XHA,F14804,Fonction,DEVERROUILLAGE DE MARCHE ARRIERE,Renault,1,Projet,HHA / F4R / TL4/8 CARBONNE TRES FONCE,,NA,NA,4,,1RDBA,NA,1,Valide, 	 ,07/12/2017,F14804/AA,NA,,GACHETTE DE DEVERROUILLAGE DE MARCHE AR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,1RDBA,Officielle,,,,BE,,NA,, 	 341400196R,GACHETTE DEVERROUILLAGE MARCHE AR,PIE,Renault,0B000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," VAL,REV,UPL,BUR,ORA,ORU",,R--,NA,-,,,KONGSBERG DRIVELINE SYSTEMS,GR,,Oui,NA,NA,Prestations Véhicules et Organes,Evolution règlementaire,,,,--A,BE,--A,BE,NA,0.045,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--A,6,
2D0003850P,BOUCLIERE AR L46,Refused,1,1,1,41,ACCESSOIRES EXT - BOUCLIERS - BAGUETTES,X52,F10472,Fonction,PEAU DE BOUCLIER AR,Renault,23,Projet,PH2    L52 RENAULT,,NA,NA,1,,0M000,NA,1,Valide, 	 ,22/01/2016,F10472/AB,NA,,PEAU DE BOUCLIER AR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,0M000,Officielle,,,,BE,,NA,, 	 850224546R,PEAU BOUCLIER AR,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," EXT,MOP,TOA",,R--,NA,-,,,SC DELTA INVEST SRL,J5,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--B,BE,--B,BE,NA,3.062,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--A,4,
2D0003850P,PEAU BOUCLIER AR,Validated,2,2,0,41,ACCESSOIRES EXT - BOUCLIERS - BAGUETTES,X52,F10472,Fonction,PEAU DE BOUCLIER AR,Renault,23,Projet,PH2    L52 RENAULT,,NA,NA,1,,0M000,NA,1,Valide, 	 ,22/01/2016,F10472/AB,NA,,PEAU DE BOUCLIER AR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,0M000,Officielle,,,,BE,,NA,, 	 850224546R,PEAU BOUCLIER AR,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," EXT,MOP,TOA",,R--,NA,-,,,SC DELTA INVEST SRL,J5,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--B,BE,--B,BE,NA,3.062,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--A,4,
